date,hour,lat,long,signal,network,operator,status,description,net,speed,satellites,precission,provider,activity,postal_code,town_name
2017-08-30,21:09:18,41.64181,2.40924,12,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,29.1,6.0,16.0,gps,IN_VEHICLE,081069,Llinars del Vallès
2017-08-30,21:04:21,41.65883,2.427,11,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,22.9,10.0,19.0,gps,IN_VEHICLE,081069,Llinars del Vallès
2017-08-30,21:14:19,41.64208,2.40917,8,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,0.4,8.0,27.0,gps,IN_VEHICLE,081069,Llinars del Vallès
2017-08-30,20:19:26,41.67342,2.40051,11,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,20.9,2.0,9.0,gps,IN_VEHICLE,081982,Sant Antoni de Vilamajor
2017-08-30,21:29:14,41.67459,2.40255,19,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,21.2,5.0,17.0,gps,IN_VEHICLE,081982,Sant Antoni de Vilamajor
2017-08-30,21:24:11,41.65879,2.40618,11,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,11.4,8.0,27.0,gps,IN_VEHICLE,081982,Sant Antoni de Vilamajor
2017-08-30,20:59:20,41.67594,2.42457,12,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,13.4,1.0,11.0,gps,IN_VEHICLE,081982,Sant Antoni de Vilamajor
2017-08-30,20:39:23,41.67729,2.40457,9,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,19.7,3.0,4.0,gps,IN_VEHICLE,081982,Sant Antoni de Vilamajor
2017-08-30,21:49:59,41.67899,2.42442,15,yoigo,Yoigo,0,STATE_IN_SERVICE,2G,1.5,2.0,15.0,gps,TILTING,082346,Sant Pere de Vilamajor
2017-08-30,19:16:49,41.67919,2.42381,9,yoigo,Yoigo,0,STATE_IN_SERVICE,2G,0.0,2.0,10.0,gps,TILTING,082346,Sant Pere de Vilamajor
2017-08-30,19:50:19,41.67902,2.42462,7,yoigo,Yoigo,0,STATE_IN_SERVICE,2G,0.1,7.0,12.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,20:24:29,41.68175,2.41719,5,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,19.9,5.0,14.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,20:09:26,41.68661,2.39152,3,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,10.7,3.0,8.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,02:50:52,41.67916,2.42445,6,yoigo,Yoigo,0,STATE_IN_SERVICE,2G,0.1,2.0,18.0,gps,STILL,082346,Sant Pere de Vilamajor
2017-08-30,20:34:26,41.68099,2.4235,17,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,3.2,4.0,8.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,19:19:01,41.67922,2.42407,6,yoigo,Yoigo,0,STATE_IN_SERVICE,2G,0.6,0.0,34.0,gps,UNKNOWN,082346,Sant Pere de Vilamajor
2017-08-30,19:53:09,41.67873,2.42405,9,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,1.2,5.0,9.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,19:59:29,41.68332,2.41939,20,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,8.1,4.0,14.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,12:24:55,41.67909,2.42421,4,yoigo,Yoigo,0,STATE_IN_SERVICE,2G,0.1,3.0,33.0,gps,TILTING,082346,Sant Pere de Vilamajor
2017-08-30,20:44:22,41.68647,2.39164,10,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,17.8,2.0,8.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,01:41:22,41.67903,2.42409,11,yoigo,Yoigo,0,STATE_IN_SERVICE,2G,0.0,3.0,32.0,gps,UNKNOWN,082346,Sant Pere de Vilamajor
2017-08-30,20:14:27,41.68686,2.39129,14,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,0.4,10.0,14.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,01:00:56,41.67906,2.42444,24,yoigo,Yoigo,0,STATE_IN_SERVICE,2G,0.1,9.0,10.0,gps,STILL,082346,Sant Pere de Vilamajor
2017-08-30,19:30:26,41.67908,2.42439,5,yoigo,Yoigo,0,STATE_IN_SERVICE,2G,0.2,6.0,9.0,gps,TILTING,082346,Sant Pere de Vilamajor
2017-08-30,00:48:23,41.67888,2.42448,24,yoigo,Yoigo,0,STATE_IN_SERVICE,2G,0.0,3.0,23.0,gps,TILTING,082346,Sant Pere de Vilamajor
2017-08-30,20:14:32,41.68713,2.39114,23,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,23.8,2.0,6.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,21:34:11,41.68114,2.419,5,yoigo,Yoigo,0,STATE_IN_SERVICE,2G,18.8,2.0,8.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,20:54:23,41.67819,2.41166,7,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,17.3,10.0,9.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,19:54:33,41.67798,2.42305,5,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,5.1,7.0,12.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,20:49:24,41.68286,2.39556,10,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,6.2,6.0,16.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,02:25:34,41.67902,2.4242,6,yoigo,Yoigo,0,STATE_IN_SERVICE,2G,0.0,2.0,22.0,gps,STILL,082346,Sant Pere de Vilamajor
2017-08-30,20:04:27,41.68184,2.40007,12,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,19.5,1.0,14.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,21:39:11,41.68041,2.4217,9,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,2.9,5.0,11.0,gps,IN_VEHICLE,082346,Sant Pere de Vilamajor
2017-08-30,19:55:16,41.93199,1.19491,9,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,1.1,0.0,20.0,gps,IN_VEHICLE,250426,la Baronia de Rialb
2017-08-30,19:40:24,41.92962,1.19156,14,yoigo,Yoigo,2,STATE_EMERGENCY_ONLY,2G,18.6,3.0,11.0,gps,IN_VEHICLE,250426,la Baronia de Rialb
