date,hour,lat,long,signal,network,operator,status,description,net,speed,satellites,precission,provider,activity,postal_code,town_name
2017-05-18,11:02:56,41.39471,2.18968,6,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,28.2,5.0,16.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,15:09:23,41.39424,2.18989,19,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,25.4,3.0,7.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,15:08:25,41.39688,2.18656,17,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,23.4,6.0,21.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,19:15:04,41.4367,2.18073,20,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,3.5,9.0,19.0,gps,TILTING,080193,Barcelona
2017-05-18,15:10:26,41.39378,2.1885,19,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,7.2,6.0,39.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,10:47:09,41.42881,2.18141,13,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,2.8,6.0,31.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,10:50:33,41.41061,2.18665,15,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,40.3,8.0,10.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,10:02:11,41.43949,2.18249,11,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,1.8,11.0,7.0,gps,TILTING,080193,Barcelona
2017-05-18,11:05:30,41.39391,2.18861,15,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,2.9,4.0,25.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,19:14:18,41.43654,2.18024,16,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,1.2,10.0,19.0,gps,STILL,080193,Barcelona
2017-05-18,11:00:07,41.39978,2.18271,10,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,5.9,7.0,21.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,19:16:59,41.43896,2.18148,21,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,8.1,8.0,33.0,gps,STILL,080193,Barcelona
2017-05-18,10:01:27,41.43954,2.18224,9,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,1.7,7.0,6.0,gps,ON_FOOT,080193,Barcelona
2017-05-18,09:55:26,41.44029,2.1829,17,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,1.5,6.0,19.0,gps,TILTING,080193,Barcelona
2017-05-18,11:01:24,41.3993,2.18359,11,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,4.3,3.0,25.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,10:49:14,41.41848,2.18682,15,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,35.5,6.0,15.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,10:57:38,41.40136,2.18037,,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,,5.0,18.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,10:11:02,41.44128,2.18215,16,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,3.3,8.0,16.0,gps,ON_BICYCLE,080193,Barcelona
2017-05-18,10:53:04,41.40803,2.18606,15,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,6.9,5.0,39.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,10:58:56,41.40031,2.1815,11,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,6.9,5.0,28.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,10:00:24,41.43974,2.18245,10,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,6.7,7.0,19.0,gps,STILL,080193,Barcelona
2017-05-18,10:54:14,41.40566,2.18268,15,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,19.9,5.0,42.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,19:37:20,41.44102,2.18198,7,vodafone,Lowi,0,STATE_IN_SERVICE,4G,0.0,6.0,13.0,gps,TILTING,080193,Barcelona
2017-05-18,19:07:17,41.42516,2.18066,5,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,29.5,7.0,24.0,gps,IN_VEHICLE,080193,Barcelona
2017-05-18,15:07:05,41.40079,2.18311,12,vodafone,Lowi,2,STATE_EMERGENCY_ONLY,4G,22.9,8.0,25.0,gps,IN_VEHICLE,080193,Barcelona
